id	sample_123	sample_62	sample_100	sample_91	sample_88	sample_103	sample_65	sample_1	sample_108	sample_47	sample_90	sample_98	sample_58	sample_30	sample_37	sample_94	sample_34	sample_53	sample_76	sample_31	sample_56	sample_106	sample_55	sample_29	sample_60	sample_54	sample_33	sample_14	sample_121	sample_28	sample_86	sample_16	sample_25	sample_87	sample_127	sample_129	sample_119	sample_128	sample_63	sample_46	sample_109	sample_49	sample_82	sample_101	sample_23	sample_8	sample_93	sample_3	sample_59	sample_73	sample_107	sample_70	sample_36	sample_27	sample_38	sample_12	sample_39	sample_24	sample_20	sample_44	sample_78	sample_105	sample_81	sample_113	sample_84	sample_80	sample_13	sample_130	sample_18	sample_77	sample_19	sample_125	sample_99	sample_41	sample_124	sample_43	sample_4	sample_85	sample_64	sample_75	sample_45	sample_15	sample_120	sample_102	sample_95	sample_114	sample_48	sample_89	sample_66	sample_118	sample_68	sample_71	sample_92	sample_72	sample_67	sample_126	sample_42	sample_61	sample_26	sample_104	sample_52	sample_40	sample_79	taxonomy
OTU_77	0	0	0	1	0	0	0	155	0	0	0	0	0	32	0	66	0	0	0	0	0	68	26	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	1	100	0	0	1	0	0	42	0	72	0	0	9	0	0	0	88	0	0	0	76	0	0	34	0	77	0	0	0	42	0	0	0	0	106	16	11	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	50	37	0	0	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Parasutterella;
OTU_78	1	0	0	0	0	1	0	0	0	48	0	0	0	0	0	0	0	7	56	0	2	0	15	0	0	9	0	0	0	98	0	0	0	18	0	0	0	0	0	11	0	0	0	0	0	5	0	0	0	19	0	0	0	15	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	62	0	0	0	1	1	0	5	0	0	5	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
OTU_79	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	3	15	26	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	1	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium IV
OTU_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium
OTU_81	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	72	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
OTU_82	0	0	0	0	0	0	0	0	3	0	0	0	89	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	16	0	0	0	0	0	0	0	199	12	0	0	0	0	0	42	0	0	0	0	0	0	7	0	0	0	0	0	34	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;
OTU_83	0	1	10	0	0	142	26	3	0	0	1	2	0	3	1	0	1	0	0	6	0	9	2	0	1	0	31	0	1	0	16	0	9	21	0	12	8	96	0	1	0	0	0	0	0	0	0	15	2	1	0	0	0	0	41	0	4	0	1	2	14	16	7	2	0	1	3	7	17	0	0	1	0	0	1	0	0	0	0	0	13	1	0	0	0	11	185	1	0	6	0	0	0	30	7	63	0	59	0	0	1	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;
OTU_84	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;
OTU_85	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
OTU_86	0	40	0	0	0	20	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	12	0	40	0	8	13	0	21	0	0	0	0	48	0	5	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	25	0	0	101	4	0	0	0	0	0	0	0	0	0	0	1	0	56	0	43	0	5	0	0	0	1	0	0	0	0	0	0	0	5	25	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus
